No.,English,Russian,IPApronunciation_rus,German,IPApronunciation_ger
1,I,"я(ja),аз(az,“archaic”)",ja,ich,ɪç
2,you(singular),ты(ty),tɨ,"du,Sie(polite)","duː,ziː"
3,he,он(on),on,er,eːɐ̯
4,we,мы(my),mɨ,wir,viːɐ̯
5,you(plural),вы(vy),vɨ,"ihr,Sie(polite)","iːɐ̯,ziː"
6,they,"они́(oní),оне́(oné,“archaic, feminine only”)",ɐˈnʲi,sie,ziː
7,this,"э́то(éto),сё(sjó,“archaic, used in expressions”)",ˈɛtə,dies(es),"diːs,ˈdiːzəs"
8,that,то(to),to,"das,jenes(formal)","das,ˈjeːnəs"
9,here,"здесь(zdesʹ),тут(tut)","zdʲesʲ,tut",hier,hiːɐ̯
10,there,там(tam),tam,"da,dort(formal)","daː,dɔʁt"
11,who,кто(kto),kto,wer,veːɐ̯
12,what,что(što),ʂto,was,vas
13,where,где(gde),ɡdʲe,wo,voː
14,when,когда́(kogdá),kɐˈɡda,wann,van
15,how,как(kak),kak,wie,viː
16,not,не(ne),nʲe,nicht,nɪçt
17,all,"всё(vsjó,“everything”),все(vse,“everybody”)","fsʲɵ,fsʲe",alle,ˈalə
18,many,"мно́гие(mnógije),мно́го(mnógo,“adverb”)",ˈmnoɡʲɪjɪ,viele,ˈfiːlə
19,some,"не́сколько(néskolʹko),не́которые(nékotoryje)",ˈnʲeskəlʲkə,einige,ˈaɪ̯nɪɡə
20,few,"немно́гие(nemnógije),ма́ло(málo,“adverb”)",nʲɪˈmnoɡʲɪjɪ,wenig,ˈveːnɪç
21,other,"друго́й(drugój),ино́й(inój)","drʊˈɡoj,ɪˈnoj",andere,ˈandəʁə
22,one,оди́н(odín),ɐˈdʲin,eins,aɪ̯ns
23,two,два(dva),dva,zwei,tsvaɪ̯
24,three,три(tri),trʲi,drei,dʁaɪ̯
25,four,четыре(četyre),tɕɪˈtɨrʲɪ,vier,fiːɐ̯
26,five,пять(pjatʹ),pʲætʲ,fünf,fʏnf
27,big,"большо́й(bolʹšój),вели́кий(velíkij,“great”),кру́пный(krúpnyj)",bɐˈlʲʂoj,groß,ɡʁoːs
28,long,"дли́нный(dlínnyj,“size”),до́лгий(dólgij,“time”)",ˈdʲlʲinnɨj,lang,laŋ
29,wide,широ́кий(širókij),ʂɨˈrokʲɪj,"breit,weit","bʁaɪ̯t,vaɪ̯t"
30,thick,то́лстый(tólstyj),ˈtolstɨj,dick,dɪk
31,heavy,"тяжёлый(tjažólyj),тя́жкий(tjážkij)",tʲɪˈʐolɨj,schwer,ʃveːɐ̯
32,small,"ма́ленький(málenʹkij),ма́лый(mályj)",ˈmalʲɪnʲkʲɪj,klein,klaɪ̯n
33,short,"коро́ткий(korótkij),кра́ткий(krátkij)",kɐˈrotkʲɪj,kurz,kʊʁts
34,narrow,у́зкий(úzkij),ˈusʲkʲɪj,eng,ɛŋ
35,thin,то́нкий(tónkij),ˈtonkʲɪj,dünn,dʏn
36,woman,же́нщина(žénščina),ˈʐenʲɕɕɪnə,Frau,fʁaʊ̯
37,man(male),мужчи́на(mužčína),mʊˈɕɕinə,Mann,man
38,man(human),челове́к(čelovék),tɕɪlɐˈvʲek,Mensch,mɛnʃ
39,child,"ребёнок(rebjónok),дитя́(ditjá)","rʲɪˈbʲɵnək,dʲɪˈtʲa",Kind,kɪnt
40,wife,"жена́(žená),супру́га(suprúga)",ʐɨˈna,"Frau,Ehefrau","fʁaʊ̯,ˈeːəfʁaʊ̯"
41,husband,"муж(muž),супру́г(suprúg)",muʂ,"Mann,Ehemann","man,ˈeːəman"
42,mother,"мать(matʹ),ма́ма(máma),ма́тушка(mátuška)",matʲ,Mutter,ˈmʊtɐ
43,father,"оте́ц(otéc),па́па(pápa),ба́тюшка(bátjuška)",ɐˈtʲets,Vater,ˈfaːtɐ
44,animal,"зверь(zverʹ),зверёк(zverjók,“diminutive”),живо́тное(živótnoje)","zvʲerʲ,ʐɨˈvotnəjɪ",Tier,tiːɐ̯
45,fish,"ры́ба(rýba),ры́бка(rýbka,“diminutive”)",ˈrɨbə,Fisch,fɪʃ
46,bird,"пти́ца(ptíca),пти́чка(ptíčka,“diminutive”),пта́шка(ptáška,“diminutive”)",ˈptʲitsə,Vogel,ˈfoːgəl
47,dog,"соба́ка(sobáka),соба́чка(sobáčka,“diminutive”),пёс(pjós)","sɐˈbakə,pʲɵs",Hund,hʊnt
48,louse,"вошь(vošʹ),во́шка(vóška,“diminutive”)",voʂ,Laus,laʊ̯s
49,snake,змея́(zmejá),zmʲɪˈja,Schlange,ˈʃlaŋə
50,worm,"червь(červʹ),червя́к(červják),червячо́к(červjačók,“diminutive”)",tɕerfʲ,Wurm,vʊʁm
51,tree,"де́рево(dérevo),де́ревце(dérevce,“diminutive”)",ˈdʲerʲɪvə,Baum,baʊ̯m
52,forest,"лес(les),лесо́к(lesók,“small”)",lʲes,Wald,valt
53,stick,"па́лка(pálka),па́лочка(páločka,“small”)",ˈpɑlkə,Stock,ʃtɔk
54,fruit,"плод(plod),фрукт(frukt)",plot,Frucht,fʁʊxt
55,seed,"се́мя(sémja),семена́pl(semená)","ˈsʲemʲə,sʲɪmʲɪˈna",Samen,ˈzaːmən
56,leaf,"лист(list),листо́к(listók,“diminutive, sheet”),ли́стик(lístik,“diminutive, tree leaf”)",lʲist,Blatt,blat
57,root,ко́рень(kórenʹ),ˈkorʲɪnʲ,Wurzel,ˈvʊʁtsəl
58,bark(of a tree),кора́(korá),kɐˈra,Rinde,ˈʁɪndə
59,flower,"цвето́к(cvetók),цветы́pl(cvetý)",tsvʲɪˈtok,Blume,ˈbluːmə
60,grass,"трава́(travá),тра́вка(trávka)",trɐˈva,Gras,ɡʁaːs
61,rope,"верёвка(verjóvka),бечёвка(bečóvka)",vʲɪˈrʲɵfkə,Seil,zaɪ̯l
62,skin,"ко́жа(kóža),шку́ра(škúra)",ˈkoʐə,Haut,haʊ̯t
63,meat,мя́со(mjáso),ˈmʲasə,Fleisch,flaɪ̯ʃ
64,blood,кровь(krovʹ),krofʲ,Blut,bluːt
65,bone,"кость(kostʹ),ко́сточка(kóstočka,“diminutive”)",kosʲtʲ,Knochen,ˈknɔxən
66,fat(noun),жир(žir),ˈʐɨr,Fett,fɛt
67,egg,"яйцо́(jajcó),яи́чко(jaíčko,“diminutive”)",jɪjˈt͡so,Ei,aɪ̯
68,horn,"рог(rog),рожо́к(rožók,“diminutive”)",rok,Horn,hɔʁn
69,tail,"хвост(xvost),хво́стик(xvóstik,“diminutive”)",xvost,Schwanz,ʃvants
70,feather,"перо́(peró),пёрышко(pjóryško,“diminutive”)",pʲɪˈro,Feder,ˈfeːdɐ
71,hair,"во́лос(vólos),волосо́к(volosók,“diminutive”),воло́сик(volósik,“diminutive”),во́лосыpl(vólosy)",ˈvoləsɨ,Haar,haːɐ̯
72,head,"голова́(golová),глава́(glavá,“archaic, poetic or other senses”)",gəlɐˈva,Kopf,kɔpf
73,ear,"у́хо(úxo),у́шко(úško,“diminutive”)",ˈuxə,Ohr,oːɐ̯
74,eye,"глаз(glaz),о́ко(óko,“archaic, poetic or used in set expressions”)",ɡlas,Auge,ˈaʊ̯gə
75,nose,"нос(nos),но́сик(nósik,“diminutive”)",nos,Nase,ˈnaːzə
76,mouth,"рот(rot),уста́(ustá)о́ко(óko)",rot,Mund,mʊnt
77,tooth,"зуб(zub),зу́бик(zúbik,“diminutive”)",zup,Zahn,tsaːn
78,tongue,"язы́к(jazýk),язычо́к(jazyčók,“diminutive”)",jɪˈzɨk,Zunge,ˈtsʊŋə
79,fingernail,"но́готь(nógotʹ),ногото́к(nogotók,“diminutive”)",ˈnoɡətʲ,Fingernagel,ˈfɪŋɐnaːɡəl
80,foot,"стопа́(stopá),нога́(nogá)",stɐˈpa,Fuß,fuːs
81,leg,"нога́(nogá),но́жка(nóžka,“diminutive”)",nɐˈɡa,Bein,baɪ̯n
82,knee,"коле́но(koléno),коле́нка(kolénka,“diminutive”)",kɐˈlʲenə,Knie,kniː
83,hand,"рука́(ruká),ру́чка(rúčka,“diminutive”)",rʊˈka,Hand,hant
84,wing,"крыло́(kryló),кры́лышко(krýlyško,“diminutive”)",krɨˈlo,Flügel,ˈflyːɡəl
85,belly,"живо́т(živót),живо́тик(živótik,“diminutive”),брю́хо(brjúxo),брю́шко(brjúško,“diminutive”)",ʐɨˈvot,Bauch,baʊ̯x
86,guts,"кишки́(kiškí),вну́тренности(vnútrennosti)","ˈvnutrʲɪnnəsʲtʲɪ,kʲɪˈʂkʲi",Eingeweide,ˈaɪ̯nɡəvaɪ̯də
87,neck,"ше́я(šéja),ше́йка(šéjka,“diminutive”)",ˈʂejə,"Hals,Nacken","hals,ˈnakən"
88,back,"спина́(spiná),спи́нка(spínka,“diminutive”)",spʲɪˈna,Rücken,ˈʁʏkən
89,breast,"грудь(grudʹ),гру́дка(grúdka,“diminutive”)",ɡrutʲ,Brust,bʁʊst
90,heart,"се́рдце(sérdce),серде́чко(serdéčko,“diminutive”)",ˈsʲertsɪ,Herz,hɛʁts
91,liver,"пе́чень(péčenʹ),печёнка(pečónka)",ˈpʲetɕɪnʲ,Leber,ˈleːbɐ
92,todrink,"пить(pitʹ),вы́пить(výpitʹ)",pʲitʲ,trinken,ˈtʁɪŋkən
93,toeat,"есть(jestʹ),съесть(sʺjestʹ),ку́шать(kúšatʹ),ску́шать(skúšatʹ)","jestʲ,ˈkuʂətʲ",essen,ˈɛsən
94,tobite,"куса́ть(kusátʹ),укуси́ть(ukusítʹ)","ɡrɨstʲ,kʊˈsatʲ",beißen,ˈbaɪ̯sən
95,tosuck,"соса́ть(sosátʹ),пососа́ть(pososátʹ)",sɐˈsatʲ,saugen,ˈzaʊ̯gən
96,tospit,"плева́ть(plevátʹ),плю́нуть(pljúnutʹ)",plʲɪˈvatʲ,spucken,ˈʃpʊkən
97,tovomit,"рвать(rvatʹ,“the person vomiting is an object”),блева́ть(blevátʹ)","rvatʲ,blʲɪˈvatʲ",erbrechen,ɛɐ̯ˈbʁɛçən
98,toblow,"дуть(dutʹ),поду́ть(podútʹ)",dutʲ,blasen,ˈblaːzən
99,tobreathe,дыша́ть(dyšátʹ),dɨˈʂatʲ,atmen,ˈaːtmən
100,tolaugh,смея́ться(smejátʹsja),smʲɪˈjatsə,lachen,ˈlaxən
101,tosee,"ви́деть(vídetʹ),уви́деть(uvídetʹ)",ˈvʲidʲɪtʲ,sehen,ˈzeːən
102,tohear,"слы́шать(slýšatʹ),услы́шать(uslýšatʹ)",ˈslɨʂətʲ,hören,ˈhøːʁən
103,toknow,"знать(znatʹ),ве́дать(védatʹ)",znatʲ,"wissen,kennen","ˈvɪsən,ˈkɛnən"
104,tothink,"ду́мать(dúmatʹ),мы́слить(mýslitʹ)",ˈdumətʲ,denken,ˈdɛŋkən
105,tosmell,"ню́хать(njúxatʹ,“to sniff, to snuff”),чу́ять(čújatʹ,“to feel, to sense”)","ˈnʲʉxətʲ,ˈtɕʉjətʲ",riechen,ˈʁiːçən
106,tofear,боя́ться(bojátʹsja),bɐˈjatsə,fürchten,ˈfʏʁçtən
107,tosleep,спать(spatʹ),spatʲ,schlafen,ˈʃlaːfən
108,tolive,жить(žitʹ),ʐɨtʲ,leben,ˈleːbən
109,todie,"умира́ть(umirátʹ),умере́ть(umerétʹ)",ʊmʲɪˈratʲ,sterben,ˈʃtɛʁbən
110,tokill,"убива́ть(ubivátʹ),уби́ть(ubítʹ)",ʊbʲɪˈvatʲ,töten,ˈtøːtən
111,tofight,"боро́ться(borótʹsja),сража́ться(sražátʹsja),дра́ться(drátʹsja)",bɐˈrotsə,kämpfen,ˈkɛmpfən
112,tohunt,охо́титься(oxótitʹsja),ɐˈxotʲɪtsə,jagen,ˈjaːɡən
113,tohit,"ударя́ть(udarjátʹ),уда́рить(udáritʹ)",ʊˈdarʲɪtʲ,schlagen,ˈʃlaːɡən
114,tocut,"ре́зать(rézatʹ),руби́ть(rubítʹ)","ˈrʲezətʲ,rʊˈbʲitʲ",schneiden,ˈʃnaɪ̯dən
115,tosplit,"разделя́ть(razdeljátʹ),раздели́ть(razdelítʹ)",rəzʲdʲɪˈlʲitʲ,spalten,ˈʃpaltən
116,tostab,"коло́ть(kolótʹ),кольну́ть(kolʹnútʹ)",kɐˈlʲnutʲ,stechen,ˈʃtɛçən
117,toscratch,"цара́пать(carápatʹ),поцара́пать(pocarápatʹ)",tsəˈrapətʲ,kratzen,ˈkʁatsən
118,todig,"копа́ть(kopátʹ),рыть(rytʹ)","kɐˈpatʲ,rɨtʲ",graben,ˈgʁaːbən
119,toswim,"пла́вать(plávatʹ),плыть(plytʹ)",ˈplavətʲ,schwimmen,ˈʃvɪmən
120,tofly,"лета́ть(letátʹ),лете́ть(letétʹ)",lʲɪˈtatʲ,fliegen,ˈfliːɡən
121,towalk,"ходи́ть(xodítʹ),идти́(idtí)","xɐˈdʲitʲ,ɪˈtʲːi",gehen,ˈgeːən
122,tocome,"приходи́ть(prixodítʹ),прийти́(prijtí)","prʲɪxɐˈdʲitʲ,prʲɪjˈtʲi",kommen,ˈkɔmən
123,tolie(as in a bed),лежа́ть(ležátʹ)(state),lʲɪˈʐatʲ,liegen(state),ˈliːɡən
124,tosit,сиде́ть(sidétʹ)(state),sʲɪˈdʲetʲ,sitzen(state),ˈzɪtsən
125,tostand,стоя́ть(stojátʹ)(state),stɐˈjætʲ,stehen(state),ˈʃteːən
126,toturn(intransitive),"враща́ть(vraščátʹ),верте́ть(vertétʹ),крути́ть(krutítʹ)","vrɐˈɕɕætʲ,vʲɪˈrtʲetʲ",drehen,ˈdʁeːən
127,tofall,"па́дать(pádatʹ),упа́сть(upástʹ)",ˈpadətʲ,fallen,ˈfalən
128,togive,"дава́ть(davátʹ),дать(datʹ)",dɐˈvatʲ,geben,ˈɡeːbən
129,tohold,держа́ть(deržátʹ),dʲɪˈrʐatʲ,halten,ˈhaltən
130,tosqueeze,"сжима́ть(sžimátʹ),сжать(sžatʹ)",ʑʑiˈmatʲ,quetschen,ˈkvɛtʃən
131,torub,"тере́ть(terétʹ),потере́ть(poterétʹ)",tʲɪˈrʲetʲ,reiben,ˈʁaɪ̯bən
132,towash,"мыть(mytʹ),помы́ть(pomýtʹ),умыва́ть(umyvátʹ),умы́ть(umýtʹ)","mɨtʲ,ʊmɨˈvatʲ",waschen,ˈvaʃən
133,towipe,"вытира́ть(vytirátʹ),вы́тереть(výteretʹ)",vɨtʲɪˈratʲ,wischen,ˈvɪʃən
134,topull,"тяну́ть(tjanútʹ),тащи́ть(taščítʹ)",tʲɪˈnutʲ,ziehen,ˈtsiːən
135,topush,"толка́ть(tolkátʹ),толкну́ть(tolknútʹ),пиха́ть(pixátʹ),пихну́ть(pixnútʹ)","tɐˈlkatʲ,pʲɪˈxatʲ",drücken,ˈdʁʏkən
136,tothrow,"броса́ть(brosátʹ),бро́сить(brósitʹ),кида́ть(kidátʹ),кида́ть(kidátʹ),ки́нуть(kínutʹ)","brɐˈsatʲ,kʲɪˈdatʲ",werfen,ˈvɛʁfən
137,totie,"вяза́ть(vjazátʹ),свя́зывать(svjázyvatʹ)","vʲɪˈzatʲ,ˈsvʲazɨvətʲ",binden,ˈbɪndən
138,tosew,"шить(šitʹ),сшить(sšitʹ)",ʂɨtʲ,nähen,ˈnɛːən
139,tocount,"счита́ть(sčitátʹ),посчита́ть(posčitátʹ)",ɕɕɪˈtatʲ,zählen,ˈtsɛːlən
140,tosay,"говори́ть(govorítʹ),сказа́ть(skazátʹ),мо́лвить(mólvitʹ,“archaic”)","ɡəvɐˈrʲitʲ,skɐˈzatʲ",sagen,ˈzaːgən
141,tosing,"петь(petʹ),распева́ть(raspevátʹ)",pʲetʲ,singen,ˈzɪŋən
142,toplay,"игра́ть(igrátʹ),поигра́ть(poigrátʹ),сыгра́ть(sygrátʹ)",ɪˈɡratʲ,spielen,ˈʃpiːlən
143,tofloat,"пла́вать(plávatʹ),плыть(plytʹ)",plɨtʲ,schweben,ˈʃveːbən
144,toflow,течь(tečʹ),tʲetɕ,fließen,ˈfliːsən
145,tofreeze,"замерза́ть(zamerzátʹ),замёрзнуть(zamjórznutʹ),ледене́ть(ledenétʹ),заледене́ть(zaledenétʹ)",zəˈmʲɵrznʊtʲ,frieren,ˈfʁiːrən
146,toswell,"пу́хнуть(púxnutʹ),опу́хнуть(opúxnutʹ),опуха́ть(opuxátʹ),отека́ть(otekátʹ)",ˈpuxnʊtʲ,schwellen,ˈʃvɛlən
147,sun,"со́лнце(sólnce),со́лнышко(sólnyško,“diminutive”)",ˈsontsə,Sonne,ˈzɔnə
148,moon,"луна́(luná),ме́сяц(mésjac) (half moon)",lʊˈna,Mond,moːnt
149,star,"звезда́(zvezdá),звёздочка(zvjózdočka,“diminutive”)",zvʲɪˈzda,Stern,ʃtɛʁn
150,water,"вода́(vodá),води́чка(vodíčka,“diminutive”)",vɐˈda,Wasser,ˈvasɐ
151,rain,"дождь(doždʹ),до́ждик(dóždik,“diminutive”)",doʂtʲ,Regen,ˈʁeːgən
152,river,"река́(reká),ре́чка(réčka,“diminutive”)",rʲɪˈka,Fluss,flʊs
153,lake,о́зеро(ózero),ˈozʲɪrə,See,zeː
154,sea,мо́ре(móre),ˈmorʲɪ,Meer,meːɐ̯
155,salt,соль(solʹ),solʲ,Salz,zalts
156,stone,"ка́мень(kámenʹ),ка́мешек(kámešek,“diminutive”)",ˈkamʲɪnʲ,Stein,ʃtaɪ̯n
157,sand,"песо́к(pesók),песо́чек(pesóček,“diminutive”)",pʲɪˈsok,Sand,zant
158,dust,пыль(pylʹ),pɨlʲ,Staub,ʃtaʊ̯p
159,earth,земля́(zemljá),zʲɪˈmlʲa,Erde,ˈeːɐ̯də
160,cloud,"о́блако(óblako),ту́ча(túča,“black or rain cloud”)","ˈobləkə,ˈtutɕə",Wolke,ˈvɔlkə
161,fog,тума́н(tumán),tʊˈman,Nebel,ˈneːbəl
162,sky,не́бо(nébo),ˈnʲebə,Himmel,ˈhɪməl
163,wind,"ве́тер(véter),ветеро́к(veterók,“diminutive”)",ˈvʲetʲɪr,Wind,vɪnt
164,snow,"снег(sneg),снежо́к(snežók,“diminutive”)",sʲnʲek,Schnee,ʃneː
165,ice,лёд(ljód),lʲɵt,Eis,aɪ̯s
166,smoke,дым(dym),dɨm,Rauch,ʁaʊ̯x
167,fire,ого́нь(ogónʹ),ɐˈɡonʲ,Feuer,ˈfɔʏɐ
168,ash,"зола́(zolá),пе́пел(pépel)","zɐˈla,ˈpʲepʲɪl",Asche,ˈaʃə
169,toburn,"жечь(žečʹ),сжечь(sžečʹ,“transitive”),горе́ть(gorétʹ),сгоре́ть(sgorétʹ,“intransitive”)",ʐetɕ,brennen,ˈbʁɛnən
170,road,"доро́га(doróga),доро́жка(doróžka,“diminutive”),путь(putʹ)","dɐˈroɡə,putʲ",Straße,ˈʃtʁaːsə
171,mountain,"гора́(gorá),го́рка(górka,“diminutive”)",ɡɐˈra,Berg,bɛʁk
172,red,кра́сный(krásnyj),ˈkrasnɨj,rot,ʁoːt
173,green,зелёный(zeljónyj),zʲɪˈlʲɵnɨj,grün,gʁyːn
174,yellow,жёлтый(žóltyj),ˈʐoltɨj,gelb,gɛlp
175,white,бе́лый(bélyj),ˈbʲelɨj,weiß,vaɪ̯s
176,black,чёрный(čórnyj),ˈtɕɵrnɨj,schwarz,ʃvaʁts
177,night,"ночь(nočʹ),но́чка(nóčka,“diminutive”)",notɕ,Nacht,naxt
178,day,"день(denʹ),денёк(denjók,“diminutive”)",dʲenʲ,Tag,taːk
179,year,"год(god),го́дик(gódik,“diminutive”)",ɡot,Jahr,jaːɐ̯
180,warm,тёплый(tjóplyj),ˈtʲɵplɨj,warm,vaʁm
181,cold,"холо́дный(xolódnyj),студёный(studjónyj)",xɐˈlodnɨj,kalt,kalt
182,full,по́лный(pólnyj),ˈpolnɨj,voll,fɔl
183,new,но́вый(nóvyj),ˈnovɨj,neu,nɔʏ̯
184,old,ста́рый(stáryj),ˈstarɨj,alt,alt
185,good,"хоро́ший(xoróšij),до́брый(dóbryj)","xɐˈroʂɨj,ˈdobrɨj",gut,guːt
186,bad,"плохо́й(ploxój),злой(zloj)","plɐˈxoj,zloj",schlecht,ʃlɛçt
187,rotten,гнило́й(gnilój),ɡnʲɪˈloj,"faul,verrottet","faʊ̯l,fɛɐ̯ˈʁɔtət"
188,dirty,гря́зный(grjáznyj),ˈɡrʲaznɨj,"schmutzig,dreckig","ˈʃmʊtsɪç,ˈdʁɛkɪç"
189,straight,прямо́й(prjamój),prʲɪˈmoj,gerade,ɡ(ə)ˈʁaːdə
190,round,кру́глый(krúglyj),ˈkruɡlɨj,rund,ʁʊnt
191,sharp(as a knife),о́стрый(óstryj),ˈostrɨj,scharf,ʃaʁf
192,dull(as a knife),тупо́й(tupój),tʊˈpoj,stumpf,ʃtʊmpf
193,smooth,"гла́дкий(gládkij),ро́вный(róvnyj)","ˈɡlatkʲɪj,ˈrovnɨj",glatt,ɡlat
194,wet,мо́крый(mókryj),ˈmokrɨj,"nass,feucht","nas,fɔʏ̯çt"
195,dry,сухо́й(suxój),sʊˈxoj,trocken,ˈtʁɔkən
196,correct,пра́вильный(právilʹnyj),ˈpravʲɪlʲnɨj,richtig,ˈʁɪçtɪç
197,near,бли́зкий(blízkij),ˈblʲiskʲɪj,nah,ˈnaː
198,far,"далёкий(daljókij),да́льний(dálʹnij)","dɐˈlʲɵkʲɪj,ˈdalʲnʲɪj","weit,fern","vaɪ̯t,fɛʁn"
199,right,пра́вый(právyj),ˈpravɨj,rechts,ʁɛçts
200,left,ле́вый(lévyj),ˈlʲevɨj,links,lɪŋks
201,at,"при(pri),у(u),во́зле(vózle)","prʲi,u,ˈvozlʲɪ","bei,an","baɪ̯,an"
202,in,в(v),v,in,ɪn
203,with,с(s),s,mit,mɪt
204,and,"и(i),да(da)",i,und,ʊnt
205,if,"е́сли(jésli),е́жели(jéželi,“dated”),ко́ли(kóli,“dated”)",ˈjeslʲɪ,"wenn,ob","vɛn,ɔp"
206,because,"потому́ что(potomú što),и́бо(íbo)",pətɐˈmu ʂtə,weil,vaɪ̯l
207,name,"и́мя(ímja),имена́pl(imená)",ˈimʲə,Name,ˈnaːmə
